section_number,title,description,chapter,chapter_title,keywords,text_length
349,Imprisonment or committal of person refusing to answer or produce document,"If any witness or person called to produce a document or thing before a Criminal Court refuses to answer such question as are put to him or to produce any document or thing in his possession or power which the Court requires him to produce, and does not, after a reasonable opportunity has been given to him so to do, offer any reasonable excuse for such refusal such Court may, for reasons to be recorded in writing, sentence him to simple imprisonment or by warrant under the hand of the Presiding ...",26,General Provisions as to Trials before Magistrates,"magistrate, criminal court, person, produce, witness, warrant, committal, sentence, imprisonment, criminal",852
350,Summary procedure for punishment for non-attendance by a witness in obedience to summons,"If any witness being summoned to appear before a Criminal Court legally bound to appear at a certain place and time in obedience to the summons and without just excuse neglects or refuses to attend at that place or time or departs from the place where he has to attend before the time at which it is lawful for him to depart, and the Court before which the witness is to appear is satisfied that it is expedient in the interests of justice that such a witness should be tried summarily, the Court may...",26,General Provisions as to Trials before Magistrates,"obedience, attendance, criminal court, witness, fine, criminal, procedure, court, offence, sentence",819
351,"Appeals from convictions under sections 344, 345, 349 and 350","Any person sentenced by any Court other than a High Court under section 344, section 345, section 349 or section 350 may, notwithstanding anything contained in this Code appeal to the Court to which decrees or orders made in such Court are ordinarily appealable. The provisions of Chapter XXIX shall, so far as they arc applicable, apply to appeals under this section, and the Appellate Court may alter or reverse the finding, or reduce or reverse the sentence appealed against. An appeal from such c...",26,General Provisions as to Trials before Magistrates,"sessions, appeals, sections, court, session, convictions, sentence, appeal, high court",906
352,Certain Judges and Magistrates not to try certain offences when committed before themselves,"Except as provided in sections 344, 345, 349 and 350, no Judge of a Criminal Court (other than a Judge of a High Court) or Magistrate shall try any person for any offence referred to in section 195, when such offence is committed before himself or in contempt of his authority, or is brought under his notice as such judge or magistrate in the course of a judicial proceeding.",26,General Provisions as to Trials before Magistrates,"certain, court, before, themselves, criminal, committed, high court, except, offences, judge",376
353,Judgment,"The judgment in every trial in any Criminal Court of original jurisdiction shall be pronounced in open Court by the presiding officer immediately after the termination of the trial or at some subsequent time of which notice shall be given to the parties or their pleaders, by delivering the whole of the judgment; or by reading out the whole of the judgment; or by reading out the operative part of the judgment and explaining the substance of the judgment in a language which is understood by the ac...",27,Summary Trials,"judgment, criminal court, criminal, court, jurisdiction, custody, fine, sentence, trial",2389
354,Language and contents of judgment,"Except as otherwise expressly provided by this Code, every judgment referred to in section 353, shall be written in the language of the Court; shall contain the point or points for determination, the decision thereon and the reasons for the decision; shall specify the offence (if any) of which, and the section of the Indian Penal Code (45 of 1860) or other law under which, the accused is convicted and the punishment to which he is sentenced; if it be a judgment of acquittal, shall state the offe...",27,Summary Trials,"judgment, language, except, imprisonment, court, contents, sentence, punishment, offence, indian penal code",1885
355,Metropolitan Magistrate,"Instead of recording a judgment in the manner hereinbefore provided, a Metropolitan Magistrate shall record the following particulars, namely; the serial number of the case; the date of the commission of the offence; the name of the complainant (if any); the name of the accused person, and his parentage and residence; the offence complained of or proved; the plea of the accused and his examination (if any); the final order; the date of such order; in all cases in which an appeal lies from the fi...",27,Summary Trials,"metropolitan, magistrate, metropolitan magistrate, offence, appeal, instead",626
356,Order for notifying address of previously convicted offender,"When any person, having been convicted by a Court in India of an offence punishable under section 215, section 489A, section 489B, section 489C or section 489D or section 506 (in so far as it relates to criminal intimidation punishable with imprisonment for a term which may extend to seven years or with fine or with both) of the Indian Penal Code (45 of 1860) or of any offence punishable under Chapter XII or Chapter XVII of that Code, with imprisonment for a term of three years or upwards, is ag...",27,Summary Trials,"court, sentence, appeal, indian penal code, address, notifying, offender, india, criminal, order",1923
357,Order to pay compensation,"When a Court imposes a sentence of fine or a sentence (including a sentence of death) of which fine forms a part, the Court may, when passing judgment order the whole or any part of the fine recovered to be applied- in defraying the expenses properly incurred in the prosecution; in the payment to any person of compensation for any loss or injury caused by the offence, when compensation is, in the opinion of the Court, recoverable by such person in a Civil Court; when any person is convicted of a...",27,Summary Trials,"appeal, criminal, prosecution, court, order, session, offence, fine, sentence, civil court",2166
357A,Victim compensation scheme,"Every State Government in co-ordination with the Central Government shall prepare a scheme for providing funds for the purpose of compensation to the victim or his dependents who have suffered loss or injury as a result of the crime and who, require rehabilitation. Whenever a recommendation is made by the Court for compensation, the District Legal Service Authority or the State Legal Service Authority, as the case may be, shall decide the quantum of compensation to be awarded under the scheme re...",27,Summary Trials,"district legal service authority, magistrate, whenever, every state government, court, scheme, trial, central government, victim, compensation",1714
357B,Compensation to be in addition to fine under Section 326A or Section 376D of Indian Penal Code,"The compensation payable by the State Government under section 357A shall be in addition to the payment of fine to the victim under section 326A, section1 376AB, section 376D, section 376DA and section 376DB of the Indian Penal Code. 1 Criminal Law (Amendment) Act, 2018",27,Summary Trials,"criminal law, indian, criminal, state government, addition, fine, amendment, indian penal code, compensation, penal",270
357C,Treatment of victims,"All hospitals, public or private, whether run by the Central Government, the State Government, local bodies or any other person, shall immediately, provide the first-aid or medical treatment, free of cost, to the victims of any offence covered under section 326A, 376, 376A, 376AB, 376B, 376C, 376D, 376DA, 376DB or section 376E of the Indian Penal Code, and shall immediately inform the police of such incident1. 1 Criminal Law (Amendment) Act, 2018",27,Summary Trials,"criminal law, criminal, treatment, state government, offence, central government, victims, indian penal code, amendment",450
358,Compensation to persons groundlessly arrested,"Whenever any person causes a police officer to arrest another person, if it appears to the Magistrate by whom the case is heard that there was no sufficient ground of causing such arrest, the Magistrate may award such compensation, not exceeding one thousand rupees, to be paid by the person so causing the arrest to the person so arrested, for his loss of time and expenses in the matter, as the Magistrate thinks fit. In such cases, if more persons than one are arrested, the Magistrate may, in lik...",27,Summary Trials,"compensation, arrested, magistrate, whenever, imprisonment, arrest, fine, groundlessly, persons",907
359,Order to pay costs in non-cognizable cases,"Whenever any complaint of a non-cognizable offence is made to a Court, the Court, if it convicts the accused, may, in addition to the penalty imposed upon him, order him to pay to the complainant, in whole or in pan, the cost incurred by him in the prosecution, and may further order that in default of payment, the accused shall suffer simple imprisonment for a period not exceeding thirty days and such costs may include any expenses incurred in respect of process-fees witnesses and pleader's fees...",27,Summary Trials,"costs, appellate court, whenever, imprisonment, prosecution, court, order, session, offence, cases",689
360,Order to release on probation of good conduct or after admonition,"When any person not under twenty-one years of age is convicted of an offence punishable with fine only or with imprisonment for a term of seven years, or less, or when any person under twenty-one years of age or any woman is convicted of an offence not punishable with death or imprisonment for life, and no previous conviction is proved against the offender, if it appears to the Court before which he is convicted, regard being had to the age, character or antecedents of the offender, and to the c...",27,Summary Trials,"bail, provided, admonition, court, custody, conduct, sentence, appeal, good, probation",4562
361,Special reasons to be recorded in certain cases,"Where in any case the Court could have dealt with, an accused person under section 360 or under the provisions of the Probation of Offenders Act, 1958 (20 of 1958), or a youthful offender under the Children Act, 1960 (60 of 1960), or any other law for the time being in force for the treatment, training or rehabilitation of youthful offenders, but has not done so, it shall record in its judgment the special reasons for not having done so.",27,Summary Trials,"probation, reasons, certain, special, recorded, court, offenders act, cases, children act",441
362,Court not to alter judgment,"Save as otherwise provided by this Code or by any other law for the time being in force, no Court when it has signed its judgment or final order disposing of a case, shall alter or review the same except to correct a clerical or arithmetical error.",27,Summary Trials,"judgment, alter, save, court",248
363,Copy of judgment to be given to the accused and other persons,"When the accused is sentenced to imprisonment, a copy of the judgment shall, immediately after the pronouncement of the judgment, be given to him free of cost. On the application of the accused, a certified copy of the judgment, or when he so desires, a translation is his own language if practicable or in the language of the Court, shall be given to him without delay, and such copy shall, in every case where the judgment is appealable by the accused be given free of cost; Provided that where a s...",27,Summary Trials,"judgment, provided, given, copy, high court, criminal, imprisonment, accused, court, sentence",1738
364,Judgment when to be translated,"The original judgment shall be filed with the record of the proceedings and where the original is recorded in a language different from that of the Court and the accused so requires, a translation thereof into the language of the Court shall be added to such record.",27,Summary Trials,"judgment, court, translated",266
365,Court of Session to send copy of finding and sentence to District Magistrate,"In cases tried by the Court of Session or a Chief Judicial Magistrate, the Court or such Magistrate as the case may be, shall forward a copy of its or his finding and sentence (if any) to the District Magistrate within whose local jurisdiction the trial was held.",27,Summary Trials,"magistrate, send, chief judicial magistrate, finding, copy, court, district, jurisdiction, session, sentence",263
366,Sentence of death to be submitted by Court of Session for confirmation,"When the Court of Session passes a sentence of death, the proceedings shall be submitted to the High Court, and the sentence shall not be executed unless it is confirmed by the High Court. The Court passing the sentence shall commit the convicted person to jail custody under a warrant.",27,Summary Trials,"submitted, confirmation, warrant, court, custody, session, death, sentence, high court",286
367,Power to direct further inquiry to be made or additional evidence to be taken,"If, when such proceedings are submitted, the High Court thinks that a further inquiry should be made into or additional evidence taken upon, any point bearing upon the guilt or innocence of the convicted person, it may make such inquiry or take such evidence itself, or direct it to be made or taken by the Court of Session. Unless the High Court otherwise directs, the presence of the convicted person may be dispensed with when such inquiry is made or such evidence is taken. When the inquiry or ev...",27,Summary Trials,"taken, direct, unless, power, evidence, made, further, court, session, inquiry",628
368,Power of High Court to confirm sentence or annul conviction,"In any case submitted under section 366, the High Court; may confirm the sentence, or pass any other sentence warranted by law, or may annul the conviction, and convict the accused of any offence of which the Court of Session might have convicted him, or order a new trial on the same or an amended charge, or may acquit the accused person; Provided that no order of confirmation shall be made under this section until the period allowed for preferring an appeal has expired, or, if an appeal is pres...",27,Summary Trials,"provided, power, high court, annul, court, confirm, conviction, session, sentence, trial",559
369,Confirmation or new sentence to be signed by two Judges,"In every case so submitted, the confirmation of the sentence, or any new sentence or order passed by the High Court, shall when such Court consists of two or more Judges, be made, passed and signed by at least two of them.",27,Summary Trials,"judges, signed, confirmation, court, sentence, high court",222
370,Procedure in case of difference of opinion,"Where any such case is heard before a Bench of Judges and such Judges are equally divided in opinion, the case shall be decided in the manner provided by section 392.",27,Summary Trials,"judges, opinion, bench, procedure, difference, case",166
371,Procedure in cases submitted to High Court for confirmation,"In cases submitted by the Court of Session to the High Court for the confirmation of a sentence of death, the proper officer of the High Court shall, without delay, after the order of confirmation or other order has been made by the High Court, send a copy of the order under the seal of the High Court and attested with his official signature, to the Court of Session.",27,Summary Trials,"submitted, confirmation, sentence, high court, procedure, court, session, cases, high",369
372,No appeal to lie unless otherwise provided,No appeal shall lie from any judgment or order of a Criminal Court except as provided for by this Code or by any other law for the time being in force.,29,"Suspension, Remission and Commutation of Sentences","criminal court, provided, unless, criminal, court, otherwise, appeal",151
373,Appeal from orders requiring security or refusal to accept or rejecting surety for keeping peace or good behaviour,"Any person, who has been ordered under section 117 to give security for keeping the peace or for good behaviour, or who is aggrieved by any order refusing to accept or rejecting a surety under section 121, may appeal against such order to the Court of Session; Provided that nothing in this section, shall apply to persons the proceedings against whom are laid before a Sessions Judge in accordance with the provisions of Sub-Section (2) or Sub-Section (4) of section 122.",29,"Suspension, Remission and Commutation of Sentences","provided, sessions judge, court, security, appeal, orders, refusal, good, keeping, session",472
374,Appeals from convictions,"Any person convicted on a trial held by a High Court in its extraordinary original criminal jurisdiction may appeal to the Supreme Court. Any person convicted on a trial held by a Sessions Judge or an Additional Sessions Judge or on a trial held by any other Court in which a sentence of imprisonment for more than seven years has been passed against him or against any other person convicted at the same trial; may appeal to the High Court. Save as otherwise provided in Sub-Section (2), any person;...",29,"Suspension, Remission and Commutation of Sentences","magistrate, sessions, appeals, additional sessions judge, criminal, supreme court, imprisonment, sessions judge, court, jurisdiction",1177
375,No appeal in certain cases when accused pleads guilty,"Notwithstanding anything contained in section 374, where an accused person has pleaded guilty and has been convicted on such plea, there shall be no appeal. if the conviction is by a High Court; or if the conviction is by a Court of Session, Metropolitan Magistrate or Magistrate of the first or second class, except as to the extent or legality of the sentence.",29,"Suspension, Remission and Commutation of Sentences","magistrate, pleads, certain, high court, sentence, metropolitan magistrate, accused, court, notwithstanding, session",362
376,No appeal in petty cases,"Notwithstanding anything contained in section 374, there shall be no appeal by a convicted person in any of the following cases, namely- where a High Court passes only a sentence of imprisonment for a term not exceeding six months or of fine not exceeding one thousand rupees, or of both such imprisonment and fine; where a Court of Session or a Metropolitan Magistrate passes only a sentence of imprisonment for a term not exceeding three months or of fine not exceeding two hundred rupees, or of bo...",29,"Suspension, Remission and Commutation of Sentences","magistrate, sentence, imprisonment, metropolitan magistrate, court, notwithstanding, session, fine, cases, punishment",1301
377,Appeal by the State Government against sentence,"Save as otherwise provided in Sub-Section (2), the State Government may in any case of conviction on a trial held by any Court other than a High Court, direct the Public prosecutor to present an appeal against the sentence on the ground of its inadequacy- to the Court of session, if the sentence is passed by the Magistrate; and to the High Court, if the sentence is passed by any other Court”; in Sub-Section (3), for the words “the High Court”, the words “the Court of Session or, as the case may ...",29,"Suspension, Remission and Commutation of Sentences","government, investigation, save, against, magistrate, criminal, court, state government, state, session",1700
378,Appeal in case of acquittal,"Save as otherwise provided in Sub-Section (2) and subject to the provisions of Sub-Sections (3) and (5), the District Magistrate may, in any case, direct the Public Prosecutor to present an appeal to the Court of Session from an order of acquittal passed by a Magistrate in respect of a cognizable and non-bailable offence; the State Government may, in any case, direct the Public Prosecutor to present an appeal to the High Court from an original or appellate order of an acquittal passed by any Cou...",29,"Suspension, Remission and Commutation of Sentences","investigation, save, public prosecutor, magistrate, district magistrate, acquittal, sections, court, session, offence",2379
379,Appeal against conviction by High Court in certain cases,"Where the High Court has, on appeal reversed an order of acquittal of an accused person and convicted him and sentenced him to death or to imprisonment for life or to imprisonment for a term of ten years or more, he may appeal to the Supreme Court.",29,"Suspension, Remission and Commutation of Sentences","against, certain, high court, imprisonment, supreme court, court, conviction, cases, appeal, high",248
380,Special right of appeal in certain cases,"Notwithstanding anything contained in this Chapter, when more persons than one are convicted in one trial, and an appealable judgment of order has been passed in respect of any of such person, all or any of the persons convicted at such trial shall have a right of appeal.",29,"Suspension, Remission and Commutation of Sentences","certain, special, right, notwithstanding, cases, trial, appeal",272
381,Appeal to Court of Session how heard,"Subject to the provisions of Sub-Section (2), an appeal to the Court of Session or Sessions Judge shall be heard by the Sessions Judge or by an Additional Sessions Judge; Provided that an appeal against a conviction on a trial held by a Magistrate of the second class may be heard and disposed of by an Assistant Sessions Judge or a Chief Judicial Magistrate. An Additional Sessions Judge, Assistant Sessions Judge or a Chief Judicial Magistrate shall hear only such appeals as the Sessions Judge of ...",29,"Suspension, Remission and Commutation of Sentences","magistrate, heard, subject, sessions judge, court, session, trial, judge, appeal, sessions",627
382,Petition of appeal,"Every appeal shall be made in the form of a petition in writing presented by the appellant of his pleader, and every such petition shall (unless the Court to which it is presented otherwise directs) be accompanied by a copy of the judgment or order appealed against.",29,"Suspension, Remission and Commutation of Sentences","every, court, appeal, petition",266
383,Procedure when appellant in jail,"If the appellant is in jail, he may present his petition of appeal and the copies accompanying the same to the officer in charge of the jail, who shall thereupon forward such petition and copies to the proper Appellate Court.",29,"Suspension, Remission and Commutation of Sentences","appellate court, procedure, jail, court, appellant, appeal",225
384,Summary dismissal of appeal,"If upon examining the petition of appeal and copy of the judgment received under section 382 or section 383, the Appellate Court considers that there is no sufficient ground for interfering, it may dismiss the appeal summarily; Provided that- no appeal presented under section 382 shall be dismissed unless the appellant or his pleader has had a reasonable opportunity of being heard in support of the same; no appeal presented under section 383 shall be dismissed except after giving the appellant a...",29,"Suspension, Remission and Commutation of Sentences","before, magistrate, provided, appellate court, court, summary, dismissal, custody, session, appeal",1629
385,Procedure for hearing appeals not dismissed summarily,"If the Appellate Court does not dismiss the appeal summarily, it shall cause notice of the time and place at which such appeal will be heard to be given- to the appellant or his pleader; to such officer as the State Government may appoint in this behalf; if the appeal is from a judgment of conviction in a case instituted upon complaint to the complainant; if the appeal is under section 377 or section 378, to the accused, and shall also furnish such officer, complainant and accused with a copy of...",29,"Suspension, Remission and Commutation of Sentences","hearing, appellate court, provided, appeals, procedure, court, state government, summarily, sentence, appeal",1017
386,Powers of the Appellate Court,"After perusing such record and hearing the appellant or his pleader, if he appears, and the Public Prosecutor, if he appears, and in case of an appeal under section 377 or section 378, the accused, if he appears, the Appellate Court may, if it considers that there is no sufficient ground for interfering, dismiss the appeal, or may in an appeal from an order of acquittal, reverse such order and direct that further inquiry be made, or that the accused be re-tried or committed for trial, as the cas...",29,"Suspension, Remission and Commutation of Sentences","punishment, public prosecutor, after, appellate court, appeal, court, trial, appellate, jurisdiction, sentence",1909
387,Judgments of subordinate Appellate Court,"The rules contained in Chapter XXVII as to the judgment of a Criminal Court of original jurisdiction shall apply, so far as may be practicable, to the judgment in appeal of a Court of Session or Chief Judicial Magistrate; Provided that unless the Appellate Court otherwise directs, the accused shall not be brought up, or required to attend, to hear judgment delivered.",29,"Suspension, Remission and Commutation of Sentences","chief judicial magistrate, criminal court, magistrate, criminal, court, subordinate, judgments, appellate, session, jurisdiction",369
388,Order of High Court on appeal to be certified to lower Court,"Whenever a case is decided on appeal by the High Court under this Chapter, it shall certify its judgment or order to the Court by which the finding, sentence or order appealed against was recorded or passed and if such Court is that of a Judicial Magistrate other than the Chief Judicial Magistrate, the High Court's judgment or order shall be sent through the Chief Judicial Magistrate; and if such Court is that of an Executive Magistrate, the High Court's judgment or order shall be sent through t...",29,"Suspension, Remission and Commutation of Sentences","magistrate, certified, whenever, high court, court, order, sentence, lower, appeal, high",757
389,Suspension of sentence pending the appeal; release of appellant on bail,"Pending any appeal by a convicted person, the Appellate Court may, for reasons to be recorded by it in writing, order that the execution of the sentence or order appealed against be suspended and, also, if he is in confinement, that he be released on bail, or on his own bond. Provided that the Appellate Court shall, before releasing on bail or on his own bond a convicted person who is convicted of an offence punishable with death or imprisonment for life or imprisonment for a term of not less th...",29,"Suspension, Remission and Commutation of Sentences","release, bail, public prosecutor, appellate court, provided, suspension, imprisonment, court, appellant, offence",1844
390,Arrest of accused in appeal from acquittal,"When an appeal is presented under section 378, the High Court may issue a warrant directing that the accused be arrested and brought before it or any subordinate Court, and the Court before which he is brought may commit him to prison pending the disposal of the appeal or admit him to bail.",29,"Suspension, Remission and Commutation of Sentences","bail, warrant, acquittal, arrest, accused, court, appeal, high court",291
391,Appellate Court may take further evidence or direct it to be taken,"In dealing with any appeal under this Chapter, the Appellate Court, if it thinks additional evidence to be necessary, shall record its reasons and may either take such evidence itself, or direct it to be taken by a Magistrate, or when the Appellate Court is a High Court, by a Court of Session or a Magistrate. When the additional evidence is taken by the Court of Session or the Magistrate, it or he shall certify such evidence to the Appellate Court, and such Court shall thereupon proceed to dispo...",29,"Suspension, Remission and Commutation of Sentences","taken, magistrate, direct, appellate court, evidence, high court, take, court, further, appellate",739
392,Procedure where Judges of Court of appeal are equally divided,"When an appeal under this Chapter is heard by a High Court before a Bench of Judges and they are divided in opinion, the appeal, with their opinions, shall be laid before another Judge of that Court, and that Judge, after such hearing as he thinks fit, shall deliver his opinion, and the judgment or order shall follow that opinion; Provided that if one of the Judges constituting the Bench, or, where the appeal is laid before another Judge under this section, that Judge, so requires, the appeal sh...",29,"Suspension, Remission and Commutation of Sentences","divided, judges, equally, high court, bench, procedure, court, judge, appeal",556
393,Finality of judgments and orders on appeal,"Judgments and orders passed by an Appellate Court upon an appeal shall be final, except in the case provided for in section 377, section 378, Sub-Section (4) of section 384 or Chapter XXX; Provided that notwithstanding the final disposal of an appeal against conviction in any case, the Appellate Court may hear and dispose of, on the merits. an appeal against acquittal under section 378, arising out of the same case, or an appeal for the enhancement of sentence under section 377, arising out of t...",29,"Suspension, Remission and Commutation of Sentences","appellate court, provided, court, judgments, finality, sentence, appeal, orders",513
394,Abatement of appeals,"Every appeal under section 377 or section 378 shall finally abate on the death of the accused. Every other appeal under this Chapter (except an appeal from a sentence of fine) shall finally abate on the death of the appellant; Provided that where the appeal is against a conviction and sentence of death or of imprisonment, and the appellant dies during the pendency of the appeal, any of his near relatives may, within thirty days of the death of the appellant, apply to the Appellate Court for leav...",29,"Suspension, Remission and Commutation of Sentences","provided, appellate court, appeals, imprisonment, abatement, every, court, fine, sentence, appeal",578
395,Reference to High Court,"Where any Court is satisfied that a case pending before it involves a question as to the validity of any Act, Ordinance or Regulation or of any provision contained in an Act, Ordinance or Regulation, the determination of which is necessary for the disposal of the case, and is of opinion that such Act, Ordinance, Regulation or provision is invalid or inoperative, but has not been so declared by the High Court to which that Court is subordinate or by the Supreme Court, the Court shall state a case...",30,Probation of Offenders,"reference, bail, magistrate, ordinance, court, regulation, session, high",1100
396,Disposal of case according to decision of High Court,"When a question has been so referred, the High Court shall pass such order thereon as it thinks fit, and shall cause a copy of such order to be sent to the Court by which the reference was made, which shall dispose of the case conformably to the said order. The High Court may direct by whom the costs of such reference shall be paid.",30,Probation of Offenders,"high court, according, court, disposal, high, decision, case",334
397,Calling for records to exercise powers of revision,"The High Court or any Sessions Judge may call for and examine the record of any proceeding before any inferior Criminal Court situate within its or his local jurisdiction for the purpose of satisfying itself or himself as to the correctness, legality or propriety of any finding. Sentence or order, recorded or passed, and as to the regularity of any proceedings of such inferior Court, and may, when calling for such record, direct that the execution of any sentence or order be suspended, and if th...",30,Probation of Offenders,"revision, bail, records, sessions judge, court, sentence, appeal, powers, criminal, high court",987
398,Power to order inquiry,"On examining any record under section 397 or otherwise, the High Court or the Sessions Judge may direct the Chief Judicial Magistrate by himself or by any of the Magistrates subordinate to him to make, and the Chief Judicial Magistrate may himself make or direct any subordinate Magistrate to make, further inquiry into any complaint which has been dismissed under section 203 of Sub-Section (4) of section 204 or into the case of any person accused of an offence who has been discharged; Provided th...",30,Probation of Offenders,"chief judicial magistrate, magistrate, magistrates, power, sessions, sessions judge, court, order, offence, inquiry",717
399,Sessions Judge's powers of revision,"In the case of any proceeding the record of which has been called for by himself the Sessions Judge may exercise all or any of the powers which may be exercised by the High Court under Sub-Section (1) of section 401. Where any proceeding by way of revision is commenced before a Sessions Judge under Sub-Section (1), the provisions of Sub-Sections (2), (3), (4) and (5) of section 401 shall, so far as may be, apply to such proceeding and references in the said subsections to the High Court shall be...",30,Probation of Offenders,"revision, high court, sessions judge, court, judge, powers, sessions",867
400,Power of Additional Sessions Judge,An Additional Sessions Judge shall have and may exercise all the powers of a Sessions Judge under this Chapter in respect of any case which may be transferred to him by or under any general or special order of the Sessions Judge.,30,Probation of Offenders,"power, additional sessions judge, sessions judge, additional, judge, sessions",229
401,High Court,"In the case of any proceeding the record of which has been called for by itself or which otherwise comes to its knowledge, the High Court may, in its discretion, exercise any of the powers conferred on a Court of Appeal by sections 386, 389, 390 and 391 or on a Court of Session by section 307 and, when the Judges composing the Court of revision are equally divided in opinion, the case shall be disposed of in the manner provided by section 392. No order under this section shall be made to the pre...",30,Probation of Offenders,"defence, court, session, high, appeal, high court",1342
402,Power of High Court to withdraw or transfer revision cases,"Whenever one or more persons convicted at the same trial makes or make application to a High Court for revision and any other person convicted at the same trial makes an application to the Sessions Judge for revision, the High Court shall decide, having regard to the general convenience of the parties and the importance of the question involved. Which of the two Courts should finally dispose of the applications for revision and when the High Court decides that all the application for revision sh...",30,Probation of Offenders,"revision, withdraw, power, sessions, whenever, high court, transfer, sessions judge, court, cases",1489
403,Option of Court to hear parties,"Save as otherwise expressly provided by this Code no party has any right to be heard either personally or by pleader before any Court exercising its powers of revision; but the Court may, if it thinks fit, when exercising such powers, hear any party either personally or by pleader.",30,Probation of Offenders,"save, option, court, hear, parties",282
404,Statement by Metropolitan Magistrate of grounds of his decision to be considered by High Court,"When the record of any trial held by a Metropolitan Magistrate is called for by the High Court or Court of Session under section 397, the Magistrate may submit with the record a statement setting forth the grounds of his decision or order and any facts which he thinks material to the issue; and the Court shall consider such statement before overruling or setting aside the said decision or order.",30,Probation of Offenders,"metropolitan, statement, grounds, magistrate, high court, metropolitan magistrate, court, considered, trial, session",398
405,High Court's order to be certified to lower Court,"When a case is revised under this Chapter by the High Court or a Sessions Judge, it or he shall, in the manner provided by section 388, certify its decision or order to the Court by which the finding sentence or order revised was recorded or passed, and the Court to which the decision or order is so certified shall thereupon make such orders as are conformable to the decision so certified; and, if necessary, the record shall be amended in accordance therewith.",30,Probation of Offenders,"certified, sessions, judge, high court, sessions judge, court, order, sentence, lower, high",464
406,Power of Supreme Court to transfer cases and appeals,"Whenever it is made to appear to the Supreme Court that an order under this section is expedient for the ends of justice, it may direct that any particular case or appeal be transferred from one High Court to another High Court or from a Criminal Court subordinate to one High Court to another Criminal Court of equal or superior jurisdiction subordinate to another High Court. The Supreme Court may act under this section only on the application of the Attorney-General of India or of a partly inter...",31,Previous Conviction,"supreme, criminal court, power, appeals, whenever, criminal, transfer, supreme court, court, jurisdiction",1099
407,Power of High Court to transfer cases and appeals,"Whenever it is made to appear to the High Court- that a fair and impartial inquiry or trial cannot be had in any Criminal Court subordinate thereto, or that some question of law of unusual difficulty is likely to arise; or that an order under this section is required by any provision of this Code, or will tend to the general convenience of the parties or witnesses, or is expedient for the ends of justice, it may order- that any offence be inquired into or tried by any Court not qualified under s...",31,Previous Conviction,"appeals, whenever, court, cases, high, appeal, criminal, transfer, session, high court",3273
408,Power of Sessions Judge to transfer cases and appeals,"Whenever it is made to appear to a Sessions Judge that an order under this Sub-Section is expedient for the ends of justice, he may order that any particular case be transferred from one Criminal Court to another Criminal Court in his sessions division. The Sessions Judge may act either on the report of the lower Court, or on the application of a party interested or on his own initiative. The provisions of Sub-Sections (3), (4), (5), (6), (7),and (9) of section 407 shall apply in relation to an ...",31,Previous Conviction,"criminal court, power, appeals, whenever, criminal, transfer, sessions judge, court, cases, judge",860
409,Withdrawal of cases and appeals by Sessions Judges,"A Sessions Judge may withdraw any case or appeal from, or recall any case or appeal which he has made over to, any Assistant Sessions Judge or Chief Judicial Magistrate subordinate to him. At any time before the trial of the case or the hearing of the appeal has commenced before the Additional Sessions Judge, as Sessions Judge may recall any case or appeal which he has made over to any Additional Sessions Judge. Where a Sessions Judge withdraws or recalls a case or appeal under Sub-Section(1) or...",31,Previous Conviction,"withdrawal, judges, chief judicial magistrate, magistrate, appeals, additional sessions judge, sessions judge, court, assistant sessions judge, cases",710
410,Withdrawal of cases by Judicial Magistrates,"Any Chief Judicial Magistrate may withdraw any case from, or recall any case which he has made over to, any Magistrate subordinate to him, and may inquire into or try such case himself, or refer it for inquiry or trial to any other such Magistrate competent to inquire into or try the same. Any Judicial Magistrate may recall any case made over by him under Sub-Section (2) of section 192 to any other Magistrate and may require into or try such cases himself.",31,Previous Conviction,"withdrawal, chief judicial magistrate, magistrate, magistrates, judicial, trial, judicial magistrate, cases, inquiry",460
411,Making over or withdrawal of cases by Executive Magistrates,"Any District Magistrate or Sub-divisional Magistrate may- make over, for disposal, any proceeding which has been started before him, to any Magistrate subordinate to him; withdraw any case from, or recall any case which he has made over to, any Magistrate subordinate to him, and dispose of such proceeding himself or refer it for disposal to any other Magistrate.",31,Previous Conviction,"withdrawal, magistrate, magistrates, district magistrate, cases, over, making, executive",364
412,Reasons to be recorded,"A Sessions Judge or Magistrate making an order under section 408, section 409, section 410 or section 411 shall record his reasons for making it.",31,Previous Conviction,"magistrate, reasons, recorded, sessions judge, judge, sessions",145
413,Execution of order passed under section 368,"When in a case submitted to the High Court for the confirmation of a sentence of death, the Court of Session receives the order of confirmation or other order of the High Court thereon, it shall cause such order to be carried into effect by issuing a warrant or taking such other steps as may be necessary.",32,Disposal of Property,"warrant, passed, execution, order, court, session, sentence, high court",306
414,Execution of sentence of death passed by High Court,"When a sentence of death is passed by the High Court in appeal or in revision, the Court of Session shall, on receiving the order of the High Court, cause the sentence to be carried into effect by issuing a warrant.",32,Disposal of Property,"warrant, high court, passed, court, execution, session, death, sentence, appeal, high",215
