Article_Number,Title,Content,Section,Word_Count,Clause_Count,Keywords,Themes,Has_Amendments,Amendment_Count
333,"Representation of the Anglo Indian community in the Legislative Assemblies of the States Notwithstanding anything in Article 170, the Governor of a St","333. Representation of the Anglo Indian community in the Legislative Assemblies of the States Notwithstanding anything in Article 170, the Governor of a State may, if he is of opinion that the Anglo Indian community needs representation in the Legislative Assembly of the State and is not adequately represented therein, nominate one member of that community to the Assembly",Unknown,59,0,"community, representation, anglo, legislative, assembly, assemblies, notwithstanding, anything, governor, opinion","federal_structure, governance",False,0
334,"Reservation of seats and special representation to cease after forty years Notwithstanding anything in the foregoing provisions of this Part, the provisions of Constitution relating to","334. Reservation of seats and special representation to cease after forty years Notwithstanding anything in the foregoing provisions of this Part, the provisions of Constitution relating to (a) the reservation of seats for the Scheduled Castes and the Scheduled Tribes in the House of the People and in the Legislative Assemblies of the States; and (b) the representation of the Anglo Indian community in the House of the People and in the Legislative Assemblies of the States by nomination, shall ce...",Unknown,138,1,"house, representation, people, legislative, reservation, seats, cease, forty, years, provisions","federal_structure, governance",False,0
335,Claims of Scheduled Castes and Scheduled Tribes to services and posts The claims of the members of the Scheduled Castes and the Scheduled Tribes shall,"335. Claims of Scheduled Castes and Scheduled Tribes to services and posts The claims of the members of the Scheduled Castes and the Scheduled Tribes shall be taken into consideration, consistently with the maintenance of efficiency of administration, in the making of appointments to services and posts in connection with the affairs of the Union or of a State",Unknown,59,0,"scheduled, claims, castes, tribes, services, posts, members, taken, into, consideration",federal_structure,False,0
336,Special provision for Anglo Indian community in certain services,"336. Special provision for Anglo Indian community in certain services (1) During the first two years after the commencement of this Constitution, appointments of members of the Anglo Indian community to posts in the railway, customs, postal and telegraph services of the Union shall be made on the same basis as immediately before the fifteenth day of August, 1947 During every succeeding period of two years, the number of posts reserved for the members of the said community in the said services sh...",Unknown,175,0,"community, members, years, anglo, services, posts, reserved, commencement, immediately, period",federal_structure,False,0
337,"Special provision with respect to educational grants for the benefit of Anglo Indian community During the first three financial years after the commencement of this Constitution, the same grants, if any, shall be made by the Union and by each State for the benefit of the Anglo Indian community in respect of education as were made in the financial year ending on the thirty first day of March, 1948 During every succeeding period of three years the grants may be less by ten per cent than those for the immediately preceding period of three years","337. Special provision with respect to educational grants for the benefit of Anglo Indian community During the first three financial years after the commencement of this Constitution, the same grants, if any, shall be made by the Union and by each State for the benefit of the Anglo Indian community in respect of education as were made in the financial year ending on the thirty first day of March, 1948 During every succeeding period of three years the grants may be less by ten per cent than those...",Unknown,168,0,"grants, anglo, community, years, three, made, special, respect, educational, benefit","federal_structure, emergency",False,0
338,"Special Officer for Scheduled Castes, Scheduled Tribes etc","338. Special Officer for Scheduled Castes, Scheduled Tribes etc (1) There shall be a Special Officer for the Scheduled Castes and Scheduled Tribes to be appointed by the President (2) It shall be the duty of the Special Officer to investigate all matters relating to the safeguards provided for the Scheduled Castes and Scheduled Tribes under this Constitution and report to the President upon the working of those safeguards at such intervals as the President may direct, and the President shall cau...",Unknown,145,1,"scheduled, president, castes, tribes, special, officer, appointed, safeguards, report, references",governance,False,0
339,Control of the Union over the administration of Scheduled Areas and the welfare of Scheduled Tribes,"339. Control of the Union over the administration of Scheduled Areas and the welfare of Scheduled Tribes (1) The President may at any time and shall, at the expiration of ten years from the commencement of this Constitution by order appoint a Commission to report on the administration of the Scheduled Areas and the welfare of this Scheduled Tribes in the States The order may define the composition, powers and procedure of the Commission and may contain such incidental or ancillary provisions as ...",Unknown,133,1,"scheduled, welfare, tribes, administration, areas, president, order, commission, control, time","directive_principles, federal_structure, governance",False,0
340,Appointment of a Commission to investigate the conditions of backward classes,340. Appointment of a Commission to investigate the conditions of backward classes (1) The President may by order appoint a Commission consisting of such persons as he thinks fit to investigate the conditions of socially and educationally backward classes within the territory of India and the difficulties under which they labour and to make recommendations as to the steps that should be taken by the Union or any State to remove such difficulties and to improve their condition and as to the grant...,Unknown,186,2,"commission, investigate, conditions, president, backward, classes, order, difficulties, recommendations, taken","directive_principles, federal_structure, governance",False,0
341,Scheduled Castes,"341. Scheduled Castes (1) The President may with respect to any State or Union territory, and where it is a State after consultation with the Governor thereof, by public notification, specify the castes, races or tribes or parts of or groups within castes, races or tribes which shall for the purposes of this Constitution be deemed to be Scheduled Castes in relation to that State or Union territory, as the case may be (2) Parliament may by law include in or exclude from the list of Scheduled Cast...",Unknown,131,0,"castes, notification, scheduled, territory, races, tribes, within, issued, clause, caste","federal_structure, governance",False,0
342,Scheduled Tribes,"342. Scheduled Tribes (1) The President may with respect to any State or Union territory, and where it is a State, after consultation with the Governor thereof, by public notification, specify the tribes or tribal communities or parts of or groups within tribes or tribal communities which shall for the purposes of this Constitution be deemed to be Scheduled Tribes in relation to that State or Union territory, as the case may be (2) Parliament may by law include in or exclude from the list of Sch...",Unknown,141,0,"tribes, notification, tribal, scheduled, territory, communities, within, issued, clause, tribe","federal_structure, governance",False,0
343,Official language of the Union,"343. Official language of the Union (1) The official language of the Union shall be Hindi in Devanagari script The form of numerals to be used for the official purposes of the Union shall be the international form of Indian numerals (2) Notwithstanding anything in clause (1) , for a period of fifteen years from the commencement of this Constitution, the English language shall continue to be used for all the official purposes of the Union for which it was being used immediately before such commen...",Unknown,178,2,"language, official, form, numerals, purposes, devanagari, used, period, english, hindi","federal_structure, governance, emergency",False,0
344,Commission and Committee of Parliament on official language,"344. Commission and Committee of Parliament on official language (1) The President shall, at the expiration of five years from the commencement of this Constitution and thereafter at the expiration of ten years from such commencement, by order constitute a Commission which shall consist of a Chairman and such other members representing the different languages specified in the English Schedule as the President may appoint, and the order shall define the procedure to be followed by the Commission ...",Unknown,385,5,"commission, language, president, members, official, purposes, committee, recommendations, clause, report","federal_structure, governance",False,0
345,"Official language or languages of a State Subject to the provisions of Article 346 and 347, the Legislature of a State may by law adopt any one or more of the languages in use in the State or Hindi as the language or languages to be used for all or any of the official purposes of that State","345. Official language or languages of a State Subject to the provisions of Article 346 and 347, the Legislature of a State may by law adopt any one or more of the languages in use in the State or Hindi as the language or languages to be used for all or any of the official purposes of that State: Provided that, until the Legislature of the State otherwise provides by law, the English language shall continue to be used for those official purposes within the State for which it was being used immed...",Unknown,99,0,"official, language, languages, used, legislature, purposes, subject, provisions, adopt, more",federal_structure,False,0
346,Official language for communication between one State and another or between a State and the Union The language for the time being authorised for use in the Union for official purposes shall be the official language for communication between one State and another State and between a State and the Union,"346. Official language for communication between one State and another or between a State and the Union The language for the time being authorised for use in the Union for official purposes shall be the official language for communication between one State and another State and between a State and the Union: Provided that if two or more States agree that the Hindi language should be the official language for communication between such States, that language may be used for such communication",Unknown,82,0,"language, between, official, communication, another, time, being, authorised, purposes, provided",federal_structure,False,0
347,"Special provision relating to language spoken by a section of the population of a State On a demand being made in that behalf the President may, if he","347. Special provision relating to language spoken by a section of the population of a State On a demand being made in that behalf the President may, if he is satisfied that a substantial proportion of the population of a State desire the use of any language spoken by them to be recognised throughout that State or any part thereof for such purpose as he may specify CHAPTER III LANGUAGE OF THE SUPREME COURT, HIGH COURTS, ETC",Unknown,77,0,"language, spoken, population, special, provision, relating, section, demand, being, made","federal_structure, governance",False,0
348,"Language to be used in the Supreme Court and in the High Courts and for Acts, Bills, etc","348. Language to be used in the Supreme Court and in the High Courts and for Acts, Bills, etc (1) Notwithstanding anything in the foregoing provisions of this Part, until Parliament by law otherwise provides (a) all proceedings in the Supreme Court and in every High Court, (b) the authoritative texts (i) of all Bills to be introduced or amendments thereto to be moved in either House of Parliament or in the House or either House of the Legislature of a State, (ii) of all Acts passed by Parliament...",Unknown,330,5,"language, clause, court, legislature, high, governor, english, acts, bills, notwithstanding","federal_structure, governance, amendment",False,0
349,"Special procedure for enactment of certain laws relating to language During the period of fifteen years from the commencement of this Constitution, no Bill or amendment making provision for the language to be used for any of the purposes mentioned in clause","349. Special procedure for enactment of certain laws relating to language During the period of fifteen years from the commencement of this Constitution, no Bill or amendment making provision for the language to be used for any of the purposes mentioned in clause (1) of Article 348 shall be introduced or moved in either House of Parliament without the previous sanction of the President, and the President shall not give his sanction to the introduction of any such Bill or the moving of any such am...",Unknown,122,0,"clause, special, language, bill, amendment, sanction, president, constituted, procedure, enactment","directive_principles, governance, amendment",False,0
350,Language to be used in representations for redress of grievances Every person shall be entitled to submit a representation for the redress of any grie,"350. Language to be used in representations for redress of grievances Every person shall be entitled to submit a representation for the redress of any grievance to any officer or authority of the Union or a State in any of the languages used in the Union or in the State, as the case may be",Unknown,55,0,"used, redress, language, representations, grievances, every, person, entitled, submit, representation",federal_structure,False,0
350,A Facilities for instruction in mother tongue at primary stage It shall be the endeavour of every State and of every local authority within the State,350. A Facilities for instruction in mother tongue at primary stage It shall be the endeavour of every State and of every local authority within the State to provide adequate facilities for instruction in the mother tongue at the primary stage of education to children belonging to linguistic minority groups; and the President may issue such directions to any State as he considers necessary or proper for securing the provision of such facilities,Unknown,73,0,"facilities, instruction, mother, tongue, primary, stage, every, endeavour, local, authority","federal_structure, governance",False,0
350,B Special Officer for linguistic minorities,"350. B Special Officer for linguistic minorities (1) There shall be a Special Officer for linguistic minorities to be appointed by the President (2) It shall be the duty of the Special Officer to investigate all matters relating to the safeguards provided for linguistic minorities under this Constitution and report to the President upon those matters at such intervals as the president may direct, and the President may direct, and the President shall cause all such reports to be laid before each ...",Unknown,94,1,"president, special, officer, linguistic, minorities, matters, direct, there, appointed, duty","federal_structure, governance",False,0
351,"Directive for development of the Hindi language It shall be the duty of the Union to promote the spread of the Hindi language, to develop it so that i","351. Directive for development of the Hindi language It shall be the duty of the Union to promote the spread of the Hindi language, to develop it so that it may serve as a medium of expression for all the elements of the composite culture of India and to secure its enrichment by assimilating without interfering with its genius, the forms, style and expressions used in Hindustani and in the other languages of India specified in the Eighth Schedule, and by drawing, wherever necessary or desirable,...",Unknown,101,0,"hindi, language, india, other, languages, directive, development, duty, promote, spread","directive_principles, federal_structure, emergency",False,0
352,Proclamation of Emergency,"352. Proclamation of Emergency (1) If the President is satisfied that a grave emergency exists whereby the security of India or of any part of the territory thereof is threatened, whether by war or external aggression or armed rebellion, he may, by Proclamation, made a declaration to that effect in respect of the whole of India or of such part of the territory thereof as may be specified in the Proclamation Explanation A Proclamation of Emergency declaring that the security of India or any part ...",Unknown,867,4,"proclamation, house, people, resolution, clause, period, president, expiration, issued, passed","federal_structure, governance, emergency",False,0
353,"Effect of Proclamation of Emergency While a Proclamation of Emergency is in operation, then","353. Effect of Proclamation of Emergency While a Proclamation of Emergency is in operation, then (a) notwithstanding anything in this Constitution, the executive power of the Union shall extend to the giving of directions to any State as to the manner in which the executive power thereof is to be exercised; (b) the power of Parliament to make laws with respect to any matter shall include power to make laws conferring powers and imposing duties, or authorising the conferring of powers and the imp...",Unknown,226,2,"power, proclamation, emergency, operation, part, executive, make, laws, territory, india","federal_structure, governance, emergency",False,0
354,Application of provisions relating to distribution of revenues while a Proclamation of Emergency is in operation,"354. Application of provisions relating to distribution of revenues while a Proclamation of Emergency is in operation (l) The President may, while a Proclamation of Emergency is in operation, by order direct that all or any of the provisions of Articles 268 to 279 shall for such period, not extending in any case beyond the expiration of the financial year in which such Proclamation ceases to operate, as may be specific in the order, have effect subject to such exceptions or modifications as he t...",Unknown,110,2,"proclamation, order, provisions, emergency, operation, made, application, relating, distribution, revenues","federal_structure, governance, emergency",False,0
355,Duty of the Union to protect States against external aggression and internal disturbance It shall be the duty of the Union to protect every State agai,355. Duty of the Union to protect States against external aggression and internal disturbance It shall be the duty of the Union to protect every State against external aggression and internal disturbance and to ensure that the government of every State is carried on in accordance with the provisions of this Constitution,Unknown,52,0,"duty, protect, against, external, aggression, internal, disturbance, every, ensure, carried",federal_structure,False,0
356,Provisions in case of failure of constitutional machinery in State,"356. Provisions in case of failure of constitutional machinery in State (1) If the President, on receipt of report from the Governor of the State or otherwise, is satisfied that a situation has arisen in which the government of the State cannot be carried on in accordance with he provisions of this Constitution, the President may be Proclamation (a) assume to himself all or any of the functions of the Government of the State and all or any of the powers vested in or exercisable by the Governor o...",Unknown,814,5,"proclamation, period, expiration, house, resolution, people, clause, passed, force, continuance","federal_structure, governance, emergency",False,0
357,Exercise of legislative powers under Proclamation issued under Article 356,"357. Exercise of legislative powers under Proclamation issued under Article 356 (1) Whereby a Proclamation issued under clause (1) of Article 356, it has been declared that the powers of the Legislature of the State shall be exercisable by or under the authority of Parliament, it shall be competent (a) for Parliament to confer on the President the power of the Legislature of the State to make laws, and to authorise the President to delegate, subject to such conditions as he may think fit to impo...",Unknown,267,2,"authority, president, other, powers, proclamation, clause, legislature, power, make, competent","federal_structure, governance, amendment, emergency",False,0
358,Suspension of provisions of Article 19 during emergencies,"358. Suspension of provisions of Article 19 during emergencies (1) While a Proclamation of Emergency declaring that the security of India or any part of the territory thereof is threatened by war or by external aggression is in operation, nothing in Article 19 shall restrict the power of the State as defined in Part III to make any law or to take any executive action which the State would but for the provisions contained in that Part be competent to make or to take, but any law so made shall, to...",Unknown,284,2,"part, proclamation, emergency, territory, operation, india, executive, action, made, effect","federal_structure, governance, emergency",False,0
359,Suspension of the enforcement of the rights conferred by Part III during emergencies,"359. Suspension of the enforcement of the rights conferred by Part III during emergencies (1) Where a Proclamation of Emergency is in operation, the President may by order declare that the right to move any court for the enforcement of such of the rights conferred by Part III (except Article 20 and 21) as may be mentioned in the order and all proceedings pending in any court for the enforcement of the rights so mentioned shall remain suspended for the period during which the Proclamation is in f...",Unknown,499,2,"part, territory, proclamation, operation, order, india, emergency, made, rights, relation","fundamental_rights, federal_structure, governance, emergency",False,0
360,Provisions as to financial emergency,"360. Provisions as to financial emergency (1) If the President is satisfied that a situation has arisen whereby the financial stability or credit of India or of any part of the territory thereof is threatened, he may by a Proclamation make a declaration to that effect (2) A Proclamation issued under clause (1) (a) may be revoked or varied by a subsequent Proclamation; (b) shall be laid before each House of Parliament; (c) shall cease to operate at the expiration of two months unless before the e...",Unknown,436,7,"proclamation, house, period, expiration, people, president, passed, directions, financial, issued","federal_structure, governance, emergency",False,0
361,Protection of President and Governors and Rajpramukhs,"361. Protection of President and Governors and Rajpramukhs (1) The President, or the Governor or Rajpramukh of a State, shall not be answerable to any court for the exercise and performance of the powers and duties of his office or for any act done or purporting to be done by him in the exercise and performance of those powers and duties: Provided that the conduct of the President may be brought under review by any court, tribunal or body appointed or designated by either House of Parliament for...",Unknown,309,3,"president, governor, office, court, proceedings, done, against, instituted, term, exercise","fundamental_rights, federal_structure, governance",False,0
361,A Protection of publication of proceedings of Parliament and State Legislature,"361. A Protection of publication of proceedings of Parliament and State Legislature (1) No person shall be liable to any proceedings, civil or criminal, in any court in respect of the publication in a newspaper of a substantially true report of any proceedings of either House of Parliament or the Legislative Assembly, or, as the case may be, either House of the Legislature, of a State, unless the publication is proved to have been made with malice: Provided that nothing in this clause shall appl...",Unknown,182,0,"publication, proceedings, newspaper, either, house, legislature, report, legislative, assembly, case","fundamental_rights, federal_structure, governance",False,0
362,Rights and privileges of Rulers of Indian States Replaced by the Constitution,"362. Rights and privileges of Rulers of Indian States Replaced by the Constitution (Twenty sixth Amendment) Act, 1971,",Unknown,18,0,"rights, privileges, rulers, replaced, twenty, sixth, amendment, 1971","fundamental_rights, federal_structure, amendment",False,0
363,"Bar to interference by courts in disputes arising out of certain treaties, agreements, etc","363. Bar to interference by courts in disputes arising out of certain treaties, agreements, etc (1) Notwithstanding anything in this Constitution but subject to the provisions of Article 143, neither the Supreme Court nor any other court shall have jurisdiction in any dispute arising out of any provision of a treaty, agreement, covenant, engagement, sanad or other similar instrument which was entered into or executed before the commencement of this Constitution by any Ruler of an Indian State an...",Unknown,202,2,"other, commencement, arising, ruler, provisions, court, dispute, treaty, agreement, covenant","fundamental_rights, federal_structure",False,0
363,A Recognition granted to Rulers of Indian States to cease and privy purses to be abolished Notwithstanding anything in this Constitution or in any law for the time being in force,"363. A Recognition granted to Rulers of Indian States to cease and privy purses to be abolished Notwithstanding anything in this Constitution or in any law for the time being in force (a) the Prince, Chief or other person who, at any time before the commencement or the Constitution (Twenty sixth Amendment) Act, 1971, was recognised by the President as the Ruler of an Indian State or any person who, at any time before such commencement, was recognised by the President as the successor of such Rul...",Unknown,170,1,"ruler, privy, commencement, time, person, recognised, successor, purse, cease, abolished","fundamental_rights, federal_structure, governance, amendment",False,0
364,Special provisions as to major ports and aerodromes,"364. Special provisions as to major ports and aerodromes (1) Notwithstanding anything in this Constitution, the President may by public notification direct that as from such date as may be specified in the notification (a) any law made by Parliament or by the Legislature of a State shall not apply to any major port or aerodrome or shall apply thereto subject to such exceptions or modifications as may be specified in the notification, or (b) any existing law shall cease to have effect in any majo...",Unknown,191,3,"port, major, aerodrome, notification, specified, date, made, apply, subject, exceptions","federal_structure, governance",False,0
365,"Effect of failure to comply with, or to give effect to, directions given by the Union Where any State has failed to comply with or to give effect to a","365. Effect of failure to comply with, or to give effect to, directions given by the Union Where any State has failed to comply with or to give effect to any directions given in the exercise of the executive power of the Union under any directions given in the exercise of the executive power of the Union under any of the provisions of this Constitution, it shall be lawful for the President to hold that a situation has arisen in which the government of the State cannot be carried on in accordance...",Unknown,98,0,"effect, directions, given, comply, give, exercise, executive, power, provisions, failure","federal_structure, governance",False,0
366,"Definition In this Constitution, unless the context otherwise requires, the following expressions have l, the meanings hereby respectively assigned to them, that is to say","366. Definition In this Constitution, unless the context otherwise requires, the following expressions have l, the meanings hereby respectively assigned to them, that is to say (1) agricultural income means agricultural income as defined for the purposes of the enactments relating to Indian income tax; (2) an Anglo Indian means a person whose father or any of whose other male progenitors in the male line is or was of European descent but who is domiciled within the territory of India and is or w...",Unknown,1195,29,"means, other, goods, includes, income, territory, court, purposes, person, india","fundamental_rights, federal_structure, governance, amendment, emergency",False,0
367,Interpretation,"367. Interpretation (1) Unless the context otherwise requires, the General Clauses Act, 1897, shall, subject to any adaptations and modifications that may be made therein under Article 372, apply for the interpretation of this Constitution as it applies for the interpretation of an Act of the Legislature of the Dominion of India (2) Any reference in this Constitution to Acts or laws of, or made by, Parliament, or to Acts or laws of, or made by, the Legislature of a State, shall be construed as i...",Unknown,165,2,"made, interpretation, subject, legislature, india, reference, acts, laws, ordinance, president","federal_structure, governance, amendment",False,0
368,Power of Parliament to amend the Constitution and procedure therefor,"368. Power of Parliament to amend the Constitution and procedure therefor (1) Notwithstanding anything in this Constitution, Parliament may in exercise of its constituent power amend by way of addition, variation or repeal any provision of this Constitution in accordance with the procedure laid down in this article (2) An amendment of this Constitution may be initiated only by the introduction of a Bill for the purpose in either House of Parliament, and when the Bill is passed in each House by a...",Unknown,345,6,"amendment, bill, part, provisions, power, amend, house, chapter, made, procedure","federal_structure, governance, amendment",False,0
369,"Temporary power to Parliament to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List Notwithstanding anything in this Constitution, Parliament shall, during a period of five years from the commencement of this constitution, have power to make laws with respect to the following matters as if they were enumerated in the Concurrent List, namely","369. Temporary power to Parliament to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List Notwithstanding anything in this Constitution, Parliament shall, during a period of five years from the commencement of this constitution, have power to make laws with respect to the following matters as if they were enumerated in the Concurrent List, namely: (a) trade and commerce within a State in, and in production, supply and distribution of, cotton...",Unknown,234,1,"matters, including, respect, cotton, make, laws, list, power, concurrent, period",federal_structure,False,0
370,Temporary provisions with respect to the State of Jammu and Kashmir,"370. Temporary provisions with respect to the State of Jammu and Kashmir (1) Notwithstanding anything in this Constitution, (a) the provisions of Article 238 shall not apply in relation to the State of Jammu and Kashmir; (b) the power of Parliament to make laws for the said State shall be limited to (i) those matters in the Union List and the Concurrent List which, in consultation with the Government of the State, are declared by the President to correspond to matters specified in the Instrument...",Unknown,447,7,"matters, president, clause, provisions, order, referred, jammu, kashmir, apply, relation","federal_structure, governance, emergency",False,0
371,Special provision with respect to the States of Maharashtra and Gujarat,"371. Special provision with respect to the States of Maharashtra and Gujarat (2) Notwithstanding anything in this Constitution, the President may by order made with respect to the State of Maharashtra or Gujarat, provide for any special responsibility of the Governor for (a) the establishment of separate development boards for Vidarbha, Marathwada, and the rest of Maharashtra or, as the case may be, Saurashtra, Kutch and the rest of these boards will be placed each year before the State Legislat...",Unknown,149,4,"respect, maharashtra, special, gujarat, boards, rest, equitable, said, areas, subject","federal_structure, governance",False,0
371A,Special provision with respect to the State of Nagaland,"371A. Special provision with respect to the State of Nagaland (1) Notwithstanding anything in this Constitution, (a) no Act of Parliament in respect of (i) religious or social practices of the Nagas, (ii) Naga customary law and procedure, (iii) administration of civil and criminal justice involving decisions according to Naga customary law, (iv) ownership and transfer of land and its resources, shall apply to the State of Nagaland unless the Legislative Assembly of Nagaland by a resolution so de...",Unknown,1073,20,"governor, council, nagaland, regional, tuensang, district, members, respect, provided, clause","directive_principles, federal_structure, governance, amendment",False,0
371B,"Special provision with respect to the State of Assam Notwithstanding anything in this Constitution, the President may, by order made with respect to t","371B. Special provision with respect to the State of Assam Notwithstanding anything in this Constitution, the President may, by order made with respect to the State of Assam, provide for the constitution and functions of a committee of the Legislative Assembly of the State consisting of members of that Assembly elected from the tribal areas specified in Part I of the table appended to paragraph 20 of the Sixth Schedule and such number of other members of that Assembly as may be specified in the ...",Unknown,110,0,"assembly, respect, assam, order, made, committee, members, specified, 371b, special","federal_structure, governance",False,0
371C,Special provision with respect to the State of Manipur,"371C. Special provision with respect to the State of Manipur (1) Notwithstanding anything in this Constitution, the President may, by order made with respect to the State of Manipur, provide for the constitution and functions of a committee of the Legislative Assembly of the State consisting of members of that Assembly elected from the Hill Areas of that State, for the modifications to be made in the rules of business of the Government and in the rules of procedure of the Legislative Assembly of...",Unknown,181,1,"areas, president, hill, manipur, order, assembly, special, respect, made, committee","federal_structure, governance",False,0
371D,Special provisions with respect to the state of Andhra Pradesh,"371D. Special provisions with respect to the state of Andhra Pradesh (1) The president may by order made with respect to the state of Andhra Pradesh provide, having regard to the requirements of the state as a whole, for equitable opportunities and facilities for the people belonging to different parts of state, in the matter of public employment and in the matter of education, and different provisions may be made for various parts of the state (2) An order made under clause (1) may, in particul...",Unknown,1238,16,"order, tribunal, made, authority, other, administrative, posts, classes, within, specified","federal_structure, governance, amendment",False,0
371E,Establishment of Central University in Andhra Pradesh,371E. Establishment of Central University in Andhra Pradesh Parliament may by law provide for the establishment of a University in the State of Andhra Pradesh,Unknown,25,0,"establishment, university, andhra, pradesh, 371e, central, provide",federal_structure,False,0
371F,"Special provisions with respect to the State of Sikkim Notwithstanding anything in this Constitution,","371F. Special provisions with respect to the State of Sikkim Notwithstanding anything in this Constitution, (a) the Legislative Assembly of the State of Sikkim shall consist of not less than thirty members; (b) as from the date of commencement of the Constitution (Thirty sixth Amendment) Act, 1975, (hereafter in this article referred to as the appointed day) (i) the Assembly for Sikkim formed as a result of the elections held in Sikkim in April, 1974 with thirty two members elected in the said e...",Unknown,995,14,"sikkim, appointed, assembly, legislative, provisions, other, members, deemed, clause, years","fundamental_rights, directive_principles, federal_structure, governance, amendment",False,0
371G,"Special provision with respect to the State of Mizoram Notwithstanding anything in this Constitution,","371G. Special provision with respect to the State of Mizoram Notwithstanding anything in this Constitution, (a) no Act of President in respect of (i) religious or social practices of the Mizos, (ii) Mizo customary law and procedure, (iii) administration of civil and criminal justice involving decisions according to Mizo customary law, (iv) ownership and transfer of land, shall apply to the State of Mizoram unless the Legislative Assembly of the State of Mizoram by a resolution so decides: Provid...",Unknown,127,4,"mizoram, respect, mizo, customary, apply, legislative, assembly, 371g, special, provision","directive_principles, federal_structure, governance, amendment",False,0
371H,"Special provision with respect to the State of Arunachal Pradesh Notwithstanding anything in this Constitution,","371H. Special provision with respect to the State of Arunachal Pradesh Notwithstanding anything in this Constitution, (a) the Governor of Arunachal Pradesh shall have special responsibility with respect to law and order in the State of Arunachal Pradesh and in the discharge of his functions in relation thereto, the Governor shall, after consulting the Council of Ministers, exercise his individual judgment as to the action to be taken: Provided that if any question arises whether any matter is or...",Unknown,234,1,"governor, arunachal, pradesh, order, special, respect, responsibility, exercise, individual, judgment","federal_structure, governance",False,0
371I,"Special provision with respect to the State of Goa Notwithstanding anything in this Constitution, the Legislative Assembly of the State of Goa shall c","371I. Special provision with respect to the State of Goa Notwithstanding anything in this Constitution, the Legislative Assembly of the State of Goa shall consist of not less than thirty members",Unknown,31,0,"371i, special, provision, respect, notwithstanding, anything, legislative, assembly, consist, less","federal_structure, governance",False,0
372,Continuance in force of existing laws and their adaptation,"372. Continuance in force of existing laws and their adaptation (1) Notwithstanding the repeal by this Constitution of the enactments referred to in Article 395 but subject to the other provisions of this Constitution, all the laws in force in the territory of India immediately before the commencement of this Constitution, all the laws in force in the territory of India immediately before the commencement of this Constitution shall continue in force therein until altered or repealed or amended b...",Unknown,489,2,"force, india, commencement, territory, competent, other, immediately, legislature, authority, effect","federal_structure, governance, amendment",False,0
372,A Power of the President to adapt laws,"372. A Power of the President to adapt laws (1) For the purposes of bringing the provisions of any law in force in India or in any part thereof, immediately before the commencement of the Constitution (Seventh Amendment) Act, 1956, into accord with the provisions of this Constitution as amended by that Act, the President may by order made before the 1 st day of November, 1957 make such adaptations and modifications of the law, whether by way of repeal or amendment, as may be necessary or expedie...",Unknown,163,0,"president, provisions, amendment, order, made, adaptations, modifications, clause, competent, power","governance, amendment",False,0
373,Power of President to make order in respect of persons under preventive detention in certain cases Until provision is made by Parliament under clause,"373. Power of President to make order in respect of persons under preventive detention in certain cases Until provision is made by Parliament under clause (7) of Article 22, or until the expiration of one year from the commencement of this Constitution, whichever is earlier, the said article shall have effect as if for any reference to Parliament in clauses (4) and (7) thereof there were substituted a reference to the Parliament in those clauses there were substituted a reference to an order mad...",Unknown,87,0,"reference, president, order, made, clauses, there, substituted, power, make, respect",governance,False,0
374,Provisions as to Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council,"374. Provisions as to Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council (1) The Judges of the Federal Court holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the Supreme Court and shall thereupon be entitled to such salaries and allowances and to such rights in respect of leave of absence and pension as are provided for under Article 1...",Unknown,374,4,"court, commencement, judges, supreme, respect, federal, council, appeals, jurisdiction, order","fundamental_rights, federal_structure",False,0
375,"Courts, authorities and officers to continue to function subject to the provisions of the Constitution All courts of civil, criminal and revenue juris","375. Courts, authorities and officers to continue to function subject to the provisions of the Constitution All courts of civil, criminal and revenue jurisdiction, all authorities and all officers, judicial, executive and ministerial, throughout the territory of India, shall continue to exercise their respective functions subject to the provisions of this Constitution",Unknown,52,0,"courts, authorities, officers, continue, subject, provisions, function, civil, criminal, revenue","federal_structure, governance",False,0
376,Provisions as to Judges of High Courts,"376. Provisions as to Judges of High Courts (1) Notwithstanding anything in this clause (2) of Article 217, the Judges of a High Court in any Province holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the High Court in the corresponding State, and shall thereupon be entitled to such salaries and allowances and to such rights in respect of leave of absence and pension as are provided for und...",Unknown,239,0,"high, court, judges, judge, commencement, notwithstanding, office, anything, clause, holding","fundamental_rights, federal_structure, governance",False,0
377,"Provisions as to Comptroller and Auditor General of India The Auditor General of India holding office immediately before the commencement of this Constitution shall, unless he has elected otherwise, become on such commencement the Comptroller and Auditor General of India and shall thereupon be entitled to such salaries and to such rights in respect of leave of absence and pension as are provided for under clause","377. Provisions as to Comptroller and Auditor General of India The Auditor General of India holding office immediately before the commencement of this Constitution shall, unless he has elected otherwise, become on such commencement the Comptroller and Auditor General of India and shall thereupon be entitled to such salaries and to such rights in respect of leave of absence and pension as are provided for under clause (3) of Article 148 in respect of the Comptroller and Auditor General of India a...",Unknown,111,0,"auditor, general, india, comptroller, office, commencement, provisions, immediately, entitled, respect",fundamental_rights,False,0
