question,answer,context,section_number,chapter,type,keyword,chapter_title
What sections are in Chapter 18 about currency-notes and bank-notes?,Section 489D is part of Chapter 18 on currency-notes and bank-notes. This section covers: Making or possessing instruments or materials for forging or counterfeiting currency notes or bank-notes,"Section 489D: Making or possessing instruments or materials for forging or counterfeiting currency notes or bank-notes
Whoever makes, or performs any part of the process of making, or buys of sells or disposes of, or has in his possession, any machinery, instrument of material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for forging or counterfeiting any currency-note or bank-note, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",489D,18,chapter_based,,currency-notes and bank-notes
What is Section 489E of IPC about?,"Section 489E is titled 'Making or using documents resembling currency-notes or bank-notes' and states: Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.","Section 489E: Making or using documents resembling currency-notes or bank-notes
Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.",489E,18,general,,
Which section deals with making or using documents resembling currency-notes or bank-notes?,"Section 489E deals with making or using documents resembling currency-notes or bank-notes. It states: Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.","Section 489E: Making or using documents resembling currency-notes or bank-notes
Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.",489E,18,title_based,,
Which section of IPC deals with person?,"Section 489E (Making or using documents resembling currency-notes or bank-notes) deals with person. Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.","Section 489E: Making or using documents resembling currency-notes or bank-notes
Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.",489E,18,keyword_based,person,
Which section of IPC deals with document?,"Section 489E (Making or using documents resembling currency-notes or bank-notes) deals with document. Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.","Section 489E: Making or using documents resembling currency-notes or bank-notes
Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.",489E,18,keyword_based,document,
Which section of IPC deals with resembling?,"Section 489E (Making or using documents resembling currency-notes or bank-notes) deals with resembling. Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.","Section 489E: Making or using documents resembling currency-notes or bank-notes
Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.",489E,18,keyword_based,resembling,
What sections are in Chapter 18 about currency-notes and bank-notes?,Section 489E is part of Chapter 18 on currency-notes and bank-notes. This section covers: Making or using documents resembling currency-notes or bank-notes,"Section 489E: Making or using documents resembling currency-notes or bank-notes
Whoever makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any currency-note or bank-note shall be punished with fine which may extend to one hundred rupees. If any person, whose name appears on a document the making of which is an offence under sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the name and address of the person by whom it was printed or otherwise made, he shall be punished with fine which may extend to two hundred rupees. Where the name of any person appears on any document in respect of which any person is charged with an offence under sub-section (1) or on any other document used or distributed in connection with that document it may, until the contrary is proved, be presumed that that person caused the document to be made.",489E,18,chapter_based,,currency-notes and bank-notes
What is Section 490 of IPC about?,"Section 490 is titled 'Breach of contract of service during voyage or journey.' and states: Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 490: Breach of contract of service during voyage or journey.
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",490,19,general,,
Which section deals with breach of contract of service during voyage or journey.?,"Section 490 deals with breach of contract of service during voyage or journey.. It states: Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 490: Breach of contract of service during voyage or journey.
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",490,19,title_based,,
Which section of IPC deals with breach?,"Section 490 (Breach of contract of service during voyage or journey.) deals with breach. Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 490: Breach of contract of service during voyage or journey.
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",490,19,keyword_based,breach,
Which section of IPC deals with contract?,"Section 490 (Breach of contract of service during voyage or journey.) deals with contract. Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 490: Breach of contract of service during voyage or journey.
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",490,19,keyword_based,contract,
Which section of IPC deals with service?,"Section 490 (Breach of contract of service during voyage or journey.) deals with service. Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 490: Breach of contract of service during voyage or journey.
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",490,19,keyword_based,service,
What sections are in Chapter 19 about the criminal breach contracts service?,Section 490 is part of Chapter 19 on the criminal breach contracts service. This section covers: Breach of contract of service during voyage or journey.,"Section 490: Breach of contract of service during voyage or journey.
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",490,19,chapter_based,,the criminal breach contracts service
What is Section 491 of IPC about?,"Section 491 is titled 'Breach of contract to attend on and supply wants of helpless persons' and states: Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.","Section 491: Breach of contract to attend on and supply wants of helpless persons
Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",491,19,general,,
Which section deals with breach of contract to attend on and supply wants of helpless persons?,"Section 491 deals with breach of contract to attend on and supply wants of helpless persons. It states: Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.","Section 491: Breach of contract to attend on and supply wants of helpless persons
Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",491,19,title_based,,
Which section of IPC deals with wants?,"Section 491 (Breach of contract to attend on and supply wants of helpless persons) deals with wants. Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.","Section 491: Breach of contract to attend on and supply wants of helpless persons
Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",491,19,keyword_based,wants,
Which section of IPC deals with contract?,"Section 491 (Breach of contract to attend on and supply wants of helpless persons) deals with contract. Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.","Section 491: Breach of contract to attend on and supply wants of helpless persons
Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",491,19,keyword_based,contract,
Which section of IPC deals with attend?,"Section 491 (Breach of contract to attend on and supply wants of helpless persons) deals with attend. Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.","Section 491: Breach of contract to attend on and supply wants of helpless persons
Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",491,19,keyword_based,attend,
What sections are in Chapter 19 about the criminal breach contracts service?,Section 491 is part of Chapter 19 on the criminal breach contracts service. This section covers: Breach of contract to attend on and supply wants of helpless persons,"Section 491: Breach of contract to attend on and supply wants of helpless persons
Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",491,19,chapter_based,,the criminal breach contracts service
What is Section 492 of IPC about?,"Section 492 is titled 'Breach of contract to serve at distant place to which servant is conveyed at master' and states: Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 492: Breach of contract to serve at distant place to which servant is conveyed at master
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",492,19,general,,
Which section deals with breach of contract to serve at distant place to which servant is conveyed at master?,"Section 492 deals with breach of contract to serve at distant place to which servant is conveyed at master. It states: Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 492: Breach of contract to serve at distant place to which servant is conveyed at master
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",492,19,title_based,,
Which section of IPC deals with breach?,"Section 492 (Breach of contract to serve at distant place to which servant is conveyed at master) deals with breach. Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 492: Breach of contract to serve at distant place to which servant is conveyed at master
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",492,19,keyword_based,breach,
Which section of IPC deals with contract?,"Section 492 (Breach of contract to serve at distant place to which servant is conveyed at master) deals with contract. Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 492: Breach of contract to serve at distant place to which servant is conveyed at master
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",492,19,keyword_based,contract,
Which section of IPC deals with serve?,"Section 492 (Breach of contract to serve at distant place to which servant is conveyed at master) deals with serve. Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.","Section 492: Breach of contract to serve at distant place to which servant is conveyed at master
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",492,19,keyword_based,serve,
What sections are in Chapter 19 about the criminal breach contracts service?,Section 492 is part of Chapter 19 on the criminal breach contracts service. This section covers: Breach of contract to serve at distant place to which servant is conveyed at master,"Section 492: Breach of contract to serve at distant place to which servant is conveyed at master
Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",492,19,chapter_based,,the criminal breach contracts service
What is Section 493 of IPC about?,"Section 493 is titled 'Cohabitation caused by a man deceitfully inducing a belief of lawful marriage' and states: Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 493: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",493,20,general,,
Which section deals with cohabitation caused by a man deceitfully inducing a belief of lawful marriage?,"Section 493 deals with cohabitation caused by a man deceitfully inducing a belief of lawful marriage. It states: Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 493: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",493,20,title_based,,
Which section of IPC deals with belief?,"Section 493 (Cohabitation caused by a man deceitfully inducing a belief of lawful marriage) deals with belief. Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 493: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",493,20,keyword_based,belief,
Which section of IPC deals with lawfully?,"Section 493 (Cohabitation caused by a man deceitfully inducing a belief of lawful marriage) deals with lawfully. Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 493: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",493,20,keyword_based,lawfully,
Which section of IPC deals with married?,"Section 493 (Cohabitation caused by a man deceitfully inducing a belief of lawful marriage) deals with married. Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 493: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",493,20,keyword_based,married,
What sections are in Chapter 20 about offences relating to marriage?,Section 493 is part of Chapter 20 on offences relating to marriage. This section covers: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,"Section 493: Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",493,20,chapter_based,,offences relating to marriage
What is Section 494 of IPC about?,"Section 494 is titled 'Marrying again during lifetime of husband or wife' and states: Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 494: Marrying again during lifetime of husband or wife
Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",494,20,general,,
Which section deals with marrying again during lifetime of husband or wife?,"Section 494 deals with marrying again during lifetime of husband or wife. It states: Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 494: Marrying again during lifetime of husband or wife
Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",494,20,title_based,,
Which section of IPC deals with husband?,"Section 494 (Marrying again during lifetime of husband or wife) deals with husband. Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 494: Marrying again during lifetime of husband or wife
Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",494,20,keyword_based,husband,
Which section of IPC deals with wife?,"Section 494 (Marrying again during lifetime of husband or wife) deals with wife. Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 494: Marrying again during lifetime of husband or wife
Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",494,20,keyword_based,wife,
Which section of IPC deals with shall?,"Section 494 (Marrying again during lifetime of husband or wife) deals with shall. Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 494: Marrying again during lifetime of husband or wife
Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",494,20,keyword_based,shall,
What sections are in Chapter 20 about offences relating to marriage?,Section 494 is part of Chapter 20 on offences relating to marriage. This section covers: Marrying again during lifetime of husband or wife,"Section 494: Marrying again during lifetime of husband or wife
Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",494,20,chapter_based,,offences relating to marriage
What is Section 495 of IPC about?,"Section 495 is titled 'Same offence with concealment of former marriage from person with whom subsequent marriage is contracted' and states: Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 495: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",495,20,general,,
Which section deals with same offence with concealment of former marriage from person with whom subsequent marriage is contracted?,"Section 495 deals with same offence with concealment of former marriage from person with whom subsequent marriage is contracted. It states: Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 495: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",495,20,title_based,,
Which section of IPC deals with marriage?,"Section 495 (Same offence with concealment of former marriage from person with whom subsequent marriage is contracted) deals with marriage. Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 495: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",495,20,keyword_based,marriage,
Which section of IPC deals with offence?,"Section 495 (Same offence with concealment of former marriage from person with whom subsequent marriage is contracted) deals with offence. Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 495: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",495,20,keyword_based,offence,
Which section of IPC deals with former?,"Section 495 (Same offence with concealment of former marriage from person with whom subsequent marriage is contracted) deals with former. Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Section 495: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",495,20,keyword_based,former,
What sections are in Chapter 20 about offences relating to marriage?,Section 495 is part of Chapter 20 on offences relating to marriage. This section covers: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,"Section 495: Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",495,20,chapter_based,,offences relating to marriage
What is Section 496 of IPC about?,"Section 496 is titled 'Marriage ceremony fraudulently gone through without lawful marriage' and states: Whoever, dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he is not thereby lawfully married, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 496: Marriage ceremony fraudulently gone through without lawful marriage
Whoever, dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he is not thereby lawfully married, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",496,20,general,,
Which section deals with marriage ceremony fraudulently gone through without lawful marriage?,"Section 496 deals with marriage ceremony fraudulently gone through without lawful marriage. It states: Whoever, dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he is not thereby lawfully married, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Section 496: Marriage ceremony fraudulently gone through without lawful marriage
Whoever, dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he is not thereby lawfully married, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",496,20,title_based,,
